iter	Passed	Remaining
637	1408	799
638	1410	796
639	1411	794
640	1413	791
641	1414	788
642	1416	786
643	1418	783
644	1419	781
645	1421	778
646	1422	776
647	1424	773
648	1425	771
649	1427	768
650	1428	765
651	1430	763
652	1432	761
653	1434	758
654	1435	756
655	1437	753
656	1438	751
657	1440	748
658	1441	746
659	1443	743
660	1445	741
661	1446	738
662	1448	736
663	1449	733
664	1451	731
665	1452	728
666	1454	726
667	1455	723
668	1457	721
669	1458	718
670	1460	716
671	1462	713
672	1463	711
673	1465	708
674	1466	706
675	1468	703
676	1469	701
677	1471	698
678	1472	696
679	1474	694
680	1476	691
681	1478	689
682	1479	686
683	1481	684
684	1482	681
685	1484	679
686	1485	676
687	1487	674
688	1488	672
689	1490	669
690	1492	667
691	1493	664
692	1495	662
693	1497	660
694	1498	657
695	1500	655
696	1501	652
697	1503	650
698	1505	648
699	1506	645
700	1508	643
701	1509	640
702	1511	638
703	1512	636
704	1514	633
705	1515	631
706	1517	628
707	1519	626
708	1521	624
709	1522	621
710	1524	619
711	1525	617
712	1527	614
713	1528	612
714	1530	609
715	1531	607
716	1533	605
717	1534	602
718	1536	600
719	1538	598
720	1539	595
721	1541	593
722	1542	591
723	1544	588
724	1545	586
725	1547	583
726	1548	581
727	1550	579
728	1552	576
729	1553	574
730	1555	572
731	1556	569
732	1558	567
733	1559	565
734	1561	562
735	1562	560
736	1564	558
737	1565	555
738	1567	553
739	1569	551
740	1570	549
741	1572	546
742	1573	544
743	1575	542
744	1576	539
745	1578	537
746	1580	535
747	1581	532
748	1583	530
749	1584	528
750	1586	525
751	1587	523
752	1589	521
753	1590	519
754	1592	516
755	1593	514
756	1595	512
757	1597	509
758	1598	507
759	1599	505
760	1601	502
761	1602	500
762	1604	498
763	1606	496
764	1608	493
765	1609	491
766	1611	489
767	1613	487
768	1614	485
769	1616	482
770	1618	480
771	1619	478
772	1621	476
773	1622	473
774	1624	471
775	1625	469
776	1627	467
777	1628	464
778	1630	462
779	1631	460
780	1633	458
781	1634	455
782	1636	453
783	1637	451
784	1639	448
785	1640	446
786	1642	444
787	1644	442
788	1645	440
789	1647	437
